PCON24NM,nation,mp_name,mp_party,mp_email,la_name,child_pop_0_19,imd_decile,imd_score,pct_non_decent_homes,total_homes_la,n_dwellings_voa,estimated_children_bl_5plus,rate_per_1000_bl_5plus,pct_pre_1900,pct_pre_1945,pct_pre_1972,pct_pre_1992,housing_source,n_mines_total,n_macklin,n_macklin_pb_relevant,n_iocmwf_metalliferous,n_iocmwf_water_pollution
Aldershot,England,Alex Baker,Labour,alex.baker.mp@parliament.uk,Rushmoor,28878.0,8,15.065516774696345,10.6,41656.0,49751,559,19.4,7.77,22.11,52.94,72.91,VOA CTSOP 2023 (LAD),0,0,0,0,0
Aldridge-Brownhills,England,Wendy Morton,Conservative,wendy.morton.mp@parliament.uk,Walsall,21369.0,6,18.854042679945444,13.1,113850.0,44838,455,21.3,8.56,29.83,71.05,83.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Altrincham and Sale West,England,Mr Connor Rand,Labour,connor.rand.mp@parliament.uk,Trafford,27227.0,10,10.403262170786212,13.7,99194.0,44203,499,18.3,12.69,49.82,75.36,84.76,VOA CTSOP 2023 (LAD),0,0,0,0,0
Amber Valley,England,Linsey Farnsworth,Labour,linsey.farnsworth.mp@parliament.uk,Amber Valley,19570.0,5,20.9255008764385,18.1,59064.0,38870,450,23.0,21.02,41.14,63.51,78.85,VOA CTSOP 2023 (LAD),0,0,0,0,0
Arundel and South Downs,England,Andrew Griffith,Conservative,andrew.griffith.mp@parliament.uk,Chichester,19536.0,9,11.190291413864642,16.7,57115.0,49628,382,19.6,12.12,25.5,52.33,71.86,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ashfield,England,Lee Anderson,Reform UK,lee.anderson.mp@parliament.uk,Ashfield,22539.0,3,27.021796272702755,14.7,57315.0,47310,539,23.9,9.67,35.66,61.85,76.15,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ashford,England,Sojan Joseph,Labour,sojan.joseph.mp@parliament.uk,Ashford,28629.0,6,18.833146133483073,13.8,56533.0,43142,613,21.4,14.86,24.94,48.95,66.0,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ashton-under-Lyne,England,Angela Rayner,Labour,angela.rayner.mp@parliament.uk,Tameside,26697.0,2,34.50986996455214,15.9,102516.0,43642,666,24.9,18.02,41.32,71.21,84.47,VOA CTSOP 2023 (LAD),0,0,0,0,0
Aylesbury,England,Laura Kyrke-Smith,Labour,laura.kyrkesmith.mp@parliament.uk,Buckinghamshire,30160.0,9,12.35722899967364,11.0,232712.0,40607,563,18.7,8.89,22.93,55.2,74.53,VOA CTSOP 2023 (LAD),0,0,0,0,0
Banbury,England,Sean Woodcock,Labour,sean.woodcock.mp@parliament.uk,Cherwell,25309.0,8,14.957919095521275,12.0,69571.0,45264,496,19.6,12.87,19.14,45.52,67.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Barking,England,Nesil Caliskan,Labour,nesil.caliskan.mp@parliament.uk,Barking and Dagenham,45619.0,2,33.53486512148632,10.2,80291.0,43008,1085,23.8,1.23,55.4,74.09,78.8,VOA CTSOP 2023 (LAD),0,0,0,0,0
Barnsley North,England,Dan Jarvis,Labour,dan.jarvis.mp@parliament.uk,Barnsley,24741.0,5.0,,13.9,112048.0,49114,550,22.2,13.61,37.47,63.81,76.19,VOA CTSOP 2023 (LAD),0,0,0,0,0
Barnsley South,England,Stephanie Peacock,Labour,stephanie.peacock.mp@parliament.uk,Barnsley,25318.0,5.0,,13.9,112048.0,49114,562,22.2,13.61,37.47,63.81,76.19,VOA CTSOP 2023 (LAD),0,0,0,0,0
Barrow and Furness,England,Michelle Scrogham,Labour,michelle.scrogham.mp@parliament.uk,Westmorland and Furness,20212.0,3,27.113983821716236,28.0,106687.0,,535,26.5,,,,,,0,0,0,0,0
Basildon and Billericay,England,Mr Richard Holden,Conservative,richard.holden.mp@parliament.uk,Basildon,30178.0,5,22.19717662779899,7.3,79420.0,44356,634,21.0,0.56,4.73,48.65,76.93,VOA CTSOP 2023 (LAD),0,0,0,0,0
